height,weight,label
145,40,normal
191,71,normal
186,95,fat
181,68,normal
137,87,fat
177,89,fat
136,92,fat
125,100,fat
141,87,fat
195,92,normal
126,88,fat
194,83,normal
184,77,normal
148,82,fat
157,41,thin
144,89,fat
157,99,fat
185,44,thin
188,56,thin
183,89,fat
193,60,thin
135,95,fat
140,42,normal
161,37,thin
160,46,thin
155,69,fat
181,46,thin
157,59,normal
181,51,thin
188,39,thin
197,44,thin
189,36,thin
132,85,fat
126,98,fat
195,53,thin
175,77,fat
153,70,fat
176,69,normal
165,72,fat
194,99,fat
140,51,fat
134,77,fat
123,59,fat
145,65,fat
143,55,fat
144,41,normal
186,78,normal
130,76,fat
155,52,normal
161,70,fat
141,94,fat
155,53,normal
160,90,fat
123,90,fat
162,53,normal
182,99,fat
170,54,normal
140,49,fat
167,94,fat
168,87,fat
145,89,fat
177,47,thin
132,75,fat
159,50,normal
126,88,fat
190,47,thin
134,88,fat
167,42,thin
160,52,normal
199,86,normal
181,66,normal
181,71,normal
144,74,fat
128,72,fat
140,66,fat
135,58,fat
193,93,normal
190,96,fat
170,54,normal
194,39,thin
171,37,thin
157,35,thin
158,87,fat
193,92,normal
187,52,thin
179,76,normal
153,41,thin
146,83,fat
199,56,thin
161,92,fat
160,46,thin
184,76,normal
121,44,fat
134,42,normal
180,60,normal
123,79,fat
181,90,fat
125,99,fat
135,53,fat
185,85,normal
160,86,fat
194,49,thin
199,67,thin
178,51,thin
197,89,normal
170,54,normal
170,64,normal
173,67,normal
198,46,thin
160,48,normal
195,76,normal
165,53,normal
170,89,fat
189,72,normal
126,68,fat
133,61,fat
124,88,fat
140,91,fat
126,60,fat
136,37,normal
184,71,normal
141,67,fat
155,75,fat
160,89,fat
136,66,fat
147,91,fat
132,86,fat
188,67,normal
195,68,thin
186,74,normal
166,87,fat
180,55,thin
188,69,normal
148,74,fat
151,36,thin
194,41,thin
170,41,thin
130,77,fat
198,79,normal
198,44,thin
176,49,thin
166,58,normal
145,81,fat
199,38,thin
137,94,fat
179,58,thin
178,59,normal
